City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,ust-nera,64.5667,143.2,-36.38,100,99,1.28,RU,1701564314
326,carnarvon,-24.8667,113.6333,25.2,54,0,8.36,AU,1701564325
327,kiruna,67.8557,20.2251,-16.49,85,100,0.0,SE,1701564335
328,jarwal,27.1667,81.55,17.09,53,0,3.37,IN,1701564356
329,mao,39.8885,4.2658,11.31,71,75,3.09,ES,1701564366
330,aydintepe,40.3894,40.1506,1.65,64,4,1.85,TR,1701564376
331,naze,28.3667,129.4833,17.51,61,99,5.14,JP,1701564301
332,micheweni,-4.9667,39.8333,26.55,86,100,3.45,TZ,1701564397
333,katsuren-haebaru,26.3369,127.8719,22.21,61,75,4.12,JP,1701564407
334,vorkuta,67.5,64.0,-21.8,98,84,2.0,RU,1701564417
335,korla,41.7597,86.1469,-0.74,45,100,1.73,CN,1701564428
336,kerikeri,-35.2268,173.9474,19.66,83,95,5.16,NZ,1701564438
337,pijijiapan,15.7011,-93.23,25.05,80,30,1.49,MX,1701564448
338,kailua-kona,19.6406,-155.9956,28.32,80,40,3.09,US,1701564459
339,severo-yeniseyskiy,60.3725,93.0408,-11.52,92,100,3.73,RU,1701564469
340,bay roberts,47.5999,-53.2648,3.52,92,100,0.45,CA,1701564479
341,rondonopolis,-16.4708,-54.6356,27.14,64,100,1.52,BR,1701564211
342,nuuk,64.1835,-51.7216,0.34,74,20,2.06,GL,1701564500
343,alesund,62.4723,6.1549,0.18,70,75,6.69,NO,1701564510
344,saguenay,48.4168,-71.0657,-5.54,81,100,1.54,CA,1701564504
345,swift current,50.2834,-107.8014,-4.55,74,0,4.12,CA,1701564244
346,alto araguaia,-17.3147,-53.2153,22.82,76,97,1.23,BR,1701564551
347,bamboo flat,11.7,92.7167,26.05,89,40,1.03,IN,1701564572
348,dunda,-8.1167,34.25,19.73,88,89,0.83,TZ,1701564582
349,barra de santo antonio,-9.4047,-35.5072,25.6,82,100,3.92,BR,1701564592
350,vilyuchinsk,52.9306,158.4028,-7.26,77,100,2.46,RU,1701564603
351,aripuana,-9.1667,-60.6333,25.26,77,59,0.66,BR,1701564613
352,tangalle,6.024,80.7911,26.09,90,79,5.21,LK,1701564623
353,grand-bassam,5.2118,-3.7388,26.98,86,50,2.97,CI,1701564634
354,fort mcmurray,56.7268,-111.381,-8.27,86,0,2.57,CA,1701564644
355,usogorsk,63.4106,48.6872,-17.41,99,99,0.94,RU,1701564665
356,mili,6.0815,171.735,27.54,81,100,8.57,MH,1701564675
357,king city,36.2127,-121.126,14.79,75,100,3.94,US,1701564685
358,tomatlan,19.9333,-105.25,24.21,70,100,0.68,MX,1701564696
